VIAJES 6-8;RESTO DE VIAJES;Número de personas en el hogar;Estratos;Vivienda propia y completamente pagada;Vivienda rentada o alquilada;Vivienda prestada (familiar - amigos);Vivienda propia y en proceso de pago;Sexo [Masculino];Sexo [Femenino];Edad [Entre 0 y 12 años];Edad [Entre 13 y 17 años];Edad [Entre 18 y 25 años ];Edad [Entre 25 y 40 años];Edad [Entre 40 y 65 años];Edad [Mayores de 65 años];Nivel de Estudios [Sin Estudios];Nivel de Estudios [Primaria ];Nivel de Estudios [Bachillerato];Nivel de Estudios [Técnico - Tecnólogo ];Nivel de Estudios [Universidad (pregrado)];Nivel de Estudios [Postgrados];Nivel de Estudios [Otros];Ocupación [Empleado];Ocupación [Independiente];Ocupación [Ama de Casa];Ocupación [Estudiante];Ocupación [Retirado - Pensionado];Ocupación [Desempleado];Ocupación [Otro tipo de ocupación];Posesión de vehículos [Automóvil - Camioneta - Vans];Posesión de vehículos [Camión];Posesión de vehículos [Motocicleta];Posesión de vehículos [Bicicleta];Posesión de vehículos [Otros vehículos];;;
2.00;2.00;4.00;2.00;1.00;0.00;0.00;0.00;3.00;1.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;0.00;1.00;1.00;2.00;0.00;0.00;3.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;
3.00;3.00;4.00;2.00;0.00;0.00;1.00;0.00;2.00;2.00;0.00;1.00;0.00;1.00;2.00;0.00;0.00;1.00;1.00;1.00;0.00;1.00;0.00;2.00;0.00;1.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;2.00;0.00;;;
2.00;2.00;4.00;3.00;0.00;1.00;0.00;0.00;1.00;3.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;2.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;3.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;;;
0.00;2.00;5.00;3.00;0.00;1.00;0.00;0.00;3.00;2.00;1.00;1.00;1.00;1.00;1.00;0.00;0.00;1.00;2.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;3.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;;;
0.00;5.00;7.00;2.00;1.00;0.00;0.00;0.00;5.00;3.00;0.00;0.00;1.00;1.00;3.00;2.00;1.00;2.00;3.00;1.00;0.00;0.00;0.00;1.00;3.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;;;
0.00;6.00;4.00;1.00;1.00;0.00;0.00;0.00;2.00;2.00;1.00;0.00;1.00;2.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;2.00;0.00;3.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;0.00;1.00;0.00;0.00;;;
1.00;0.00;3.00;6.00;0.00;1.00;0.00;0.00;1.00;2.00;0.00;0.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;0.00;0.00;1.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;
1.00;1.00;5.00;1.00;1.00;0.00;0.00;0.00;3.00;2.00;0.00;0.00;2.00;0.00;2.00;1.00;0.00;0.00;3.00;2.00;0.00;0.00;0.00;1.00;0.00;1.00;2.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;;;
0.00;1.00;3.00;4.00;1.00;0.00;0.00;0.00;0.00;3.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;2.00;0.00;;;
1.00;0.00;1.00;5.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;;;
0.00;2.00;3.00;4.00;1.00;0.00;0.00;0.00;0.00;3.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;;;
0.00;6.00;6.00;3.00;1.00;0.00;0.00;0.00;5.00;1.00;1.00;0.00;1.00;2.00;2.00;0.00;0.00;1.00;2.00;3.00;0.00;0.00;0.00;2.00;1.00;1.00;2.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;;;
3.00;1.00;4.00;1.00;1.00;0.00;0.00;0.00;2.00;2.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;0.00;1.00;2.00;1.00;0.00;0.00;3.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;;;
2.00;8.00;4.00;2.00;1.00;0.00;0.00;0.00;3.00;1.00;0.00;1.00;1.00;0.00;2.00;0.00;0.00;0.00;2.00;1.00;1.00;0.00;0.00;1.00;1.00;0.00;2.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;;;
1.00;1.00;2.00;4.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;
0.00;2.00;4.00;4.00;1.00;0.00;0.00;0.00;2.00;2.00;0.00;0.00;1.00;1.00;2.00;0.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;
0.00;4.00;3.00;1.00;0.00;1.00;0.00;0.00;1.00;2.00;0.00;0.00;2.00;0.00;1.00;0.00;0.00;0.00;2.00;1.00;1.00;0.00;0.00;1.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;;;
1.00;1.00;4.00;1.00;1.00;0.00;0.00;0.00;2.00;2.00;0.00;2.00;1.00;0.00;1.00;0.00;0.00;0.00;2.00;2.00;0.00;0.00;0.00;2.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;;;
0.00;2.00;1.00;6.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;
1.00;1.00;1.00;2.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;
0.00;1.00;4.00;2.00;1.00;0.00;0.00;0.00;1.00;3.00;0.00;0.00;1.00;0.00;2.00;1.00;0.00;1.00;0.00;2.00;1.00;0.00;0.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;;;
0.00;1.00;4.00;5.00;0.00;1.00;0.00;0.00;2.00;2.00;0.00;0.00;2.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;3.00;1.00;0.00;1.00;0.00;0.00;2.00;1.00;0.00;0.00;1.00;0.00;0.00;2.00;0.00;;;
0.00;1.00;3.00;4.00;0.00;1.00;0.00;0.00;1.00;2.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;3.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;2.00;0.00;0.00;1.00;0.00;;;
0.00;4.00;4.00;4.00;1.00;0.00;0.00;0.00;3.00;1.00;0.00;0.00;2.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;2.00;2.00;0.00;2.00;1.00;0.00;1.00;0.00;0.00;0.00;2.00;0.00;0.00;1.00;0.00;;;
0.00;5.00;3.00;3.00;0.00;0.00;0.00;1.00;2.00;1.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;1.00;0.00;0.00;3.00;0.00;;;
1.00;2.00;3.00;3.00;1.00;0.00;0.00;0.00;2.00;1.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;2.00;0.00;0.00;0.00;1.00;0.00;0.00;2.00;0.00;;;
0.00;1.00;1.00;6.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;
2.00;2.00;4.00;4.00;0.00;1.00;0.00;0.00;1.00;3.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;0.00;1.00;2.00;1.00;0.00;0.00;3.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;;;
0.00;2.00;4.00;2.00;1.00;0.00;0.00;0.00;3.00;1.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;0.00;1.00;1.00;2.00;0.00;0.00;1.00;2.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;;;
0.00;2.00;4.00;4.00;0.00;1.00;0.00;0.00;2.00;2.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;0.00;3.00;1.00;0.00;0.00;0.00;2.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;;;
1.00;1.00;2.00;4.00;1.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;;;
2.00;3.00;5.00;3.00;1.00;0.00;0.00;0.00;3.00;2.00;1.00;0.00;2.00;0.00;2.00;0.00;1.00;0.00;0.00;2.00;3.00;0.00;0.00;2.00;1.00;1.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;;;
0.00;1.00;2.00;3.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;;;
1.00;1.00;4.00;3.00;1.00;0.00;0.00;0.00;2.00;2.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;2.00;1.00;1.00;0.00;0.00;0.00;1.00;2.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;;;
0.00;2.00;3.00;5.00;1.00;0.00;0.00;0.00;1.00;2.00;0.00;0.00;1.00;2.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;;;
0.00;10.00;4.00;4.00;1.00;0.00;0.00;0.00;3.00;1.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;0.00;1.00;0.00;2.00;1.00;0.00;3.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;;;
0.00;2.00;3.00;3.00;0.00;0.00;0.00;1.00;1.00;2.00;0.00;0.00;2.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;
1.00;0.00;5.00;6.00;1.00;0.00;0.00;0.00;3.00;2.00;0.00;0.00;1.00;1.00;3.00;0.00;0.00;0.00;0.00;1.00;2.00;2.00;0.00;2.00;1.00;1.00;1.00;0.00;0.00;0.00;3.00;0.00;0.00;2.00;0.00;;;
0.00;0.00;3.00;6.00;0.00;0.00;0.00;0.00;2.00;1.00;0.00;0.00;1.00;2.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;1.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;;;
0.00;3.00;3.00;4.00;1.00;0.00;0.00;0.00;0.00;3.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;2.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;;;
1.00;5.00;3.00;6.00;1.00;0.00;0.00;0.00;2.00;1.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;3.00;0.00;0.00;0.00;3.00;0.00;0.00;0.00;0.00;0.00;3.00;0.00;0.00;0.00;0.00;;;
0.00;2.00;3.00;6.00;0.00;0.00;0.00;1.00;2.00;1.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00;1.00;2.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;;;
2.00;3.00;4.00;4.00;0.00;0.00;0.00;1.00;3.00;1.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;1.00;1.00;0.00;2.00;0.00;0.00;0.00;1.00;0.00;0.00;3.00;0.00;;;
1.00;3.00;3.00;6.00;1.00;0.00;0.00;0.00;1.00;2.00;0.00;0.00;0.00;0.00;3.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;3.00;0.00;0.00;1.00;0.00;;;
0.00;0.00;2.00;4.00;1.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;
1.00;1.00;1.00;6.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;;;
0.00;4.00;11.00;3.00;1.00;0.00;0.00;0.00;4.00;6.00;0.00;0.00;3.00;2.00;3.00;3.00;0.00;0.00;5.00;1.00;5.00;0.00;0.00;3.00;0.00;3.00;3.00;3.00;1.00;0.00;1.00;0.00;0.00;3.00;3.00;;;
0.00;0.00;4.00;3.00;0.00;0.00;0.00;1.00;3.00;0.00;0.00;1.00;1.00;0.00;2.00;0.00;0.00;1.00;0.00;3.00;0.00;0.00;0.00;0.00;1.00;1.00;2.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;;;
2.00;1.00;4.00;4.00;0.00;1.00;0.00;0.00;2.00;2.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;0.00;2.00;2.00;0.00;0.00;0.00;2.00;0.00;0.00;2.00;0.00;0.00;0.00;2.00;0.00;1.00;2.00;0.00;;;
1.00;0.00;4.00;3.00;1.00;0.00;0.00;0.00;2.00;2.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;0.00;0.00;1.00;3.00;0.00;0.00;3.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;2.00;0.00;;;
0.00;0.00;4.00;3.00;0.00;0.00;0.00;1.00;2.00;2.00;1.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;1.00;0.00;3.00;0.00;0.00;0.00;0.00;1.00;2.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;;;
0.00;1.00;7.00;4.00;1.00;0.00;0.00;0.00;2.00;5.00;0.00;0.00;2.00;1.00;1.00;3.00;0.00;0.00;2.00;2.00;2.00;1.00;0.00;2.00;1.00;1.00;1.00;2.00;0.00;0.00;1.00;0.00;0.00;2.00;0.00;;;
0.00;1.00;4.00;2.00;1.00;0.00;0.00;0.00;3.00;1.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;4.00;0.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;;;
0.00;2.00;3.00;6.00;0.00;1.00;0.00;0.00;0.00;3.00;0.00;0.00;3.00;0.00;0.00;0.00;0.00;3.00;3.00;0.00;3.00;0.00;0.00;2.00;2.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;;;
1.00;0.00;2.00;3.00;0.00;1.00;0.00;0.00;2.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;2.00;2.00;2.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;;;
0.00;11.00;8.00;2.00;1.00;0.00;0.00;0.00;3.00;5.00;1.00;2.00;1.00;1.00;3.00;0.00;0.00;1.00;2.00;2.00;1.00;0.00;2.00;0.00;2.00;2.00;4.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;;;
0.00;0.00;3.00;4.00;0.00;1.00;0.00;0.00;2.00;1.00;0.00;0.00;2.00;0.00;1.00;0.00;0.00;0.00;3.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;2.00;0.00;0.00;0.00;1.00;0.00;0.00;2.00;0.00;;;
3.00;2.00;4.00;3.00;1.00;0.00;0.00;0.00;1.00;3.00;0.00;0.00;2.00;0.00;1.00;1.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;0.00;1.00;0.00;2.00;1.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;;;
0.00;0.00;3.00;2.00;1.00;0.00;0.00;0.00;1.00;2.00;0.00;0.00;2.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;2.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;;;
0.00;2.00;1.00;6.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;
0.00;0.00;4.00;3.00;1.00;0.00;0.00;0.00;2.00;2.00;1.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;1.00;1.00;2.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;;;
1.00;0.00;3.00;4.00;1.00;0.00;0.00;0.00;0.00;3.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;3.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;;;
0.00;0.00;4.00;5.00;0.00;0.00;0.00;1.00;1.00;3.00;0.00;1.00;1.00;0.00;2.00;0.00;0.00;0.00;1.00;0.00;2.00;1.00;0.00;2.00;0.00;0.00;2.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;;;
1.00;4.00;4.00;5.00;0.00;1.00;0.00;0.00;1.00;3.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;1.00;2.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;2.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;;;
1.00;1.00;3.00;3.00;1.00;0.00;0.00;0.00;2.00;1.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;2.00;1.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;;;
1.00;1.00;2.00;3.00;1.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;;;
1.00;1.00;4.00;4.00;1.00;0.00;0.00;0.00;1.00;3.00;0.00;1.00;1.00;0.00;2.00;0.00;0.00;0.00;1.00;0.00;3.00;0.00;0.00;3.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;;;
0.00;1.00;4.00;5.00;1.00;0.00;0.00;0.00;2.00;2.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;0.00;2.00;0.00;1.00;2.00;0.00;2.00;0.00;0.00;2.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;;;
0.00;0.00;5.00;4.00;1.00;0.00;0.00;0.00;3.00;2.00;0.00;0.00;1.00;2.00;2.00;2.00;0.00;0.00;0.00;2.00;3.00;0.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;;;
0.00;1.00;3.00;6.00;1.00;0.00;0.00;0.00;1.00;2.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;2.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;2.00;0.00;1.00;0.00;0.00;;;
0.00;0.00;3.00;6.00;0.00;1.00;0.00;0.00;0.00;3.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;2.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;
2.00;0.00;3.00;3.00;0.00;0.00;0.00;1.00;2.00;1.00;0.00;1.00;0.00;0.00;2.00;0.00;0.00;1.00;0.00;0.00;2.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;;;
